name,genre,director,country,year,imdb_url
12 месяцев. Новая сказка,Фильм-сказка,Денис Елеонский,Россия,,https://www.imdb.com/title/tt5042486/
9 рота,Военный фильм,Фёдор Бондарчук,Россия,2005,https://www.imdb.com/title/tt0417397/
11-11-11,Фильм ужасов о сверхъестественном,Даррен Линн Боусман,Соединённые Штаты Америки,,https://www.imdb.com/title/tt1712159/
11.6,Драма (жанр),Филипп Годо,Франция,2013,https://www.imdb.com/title/tt2655788/
«10 000 лет до нашей эры»,Приключенческий боевик (кино),Роланд Эммерих,Соединённые Штаты Америки,2008,https://www.imdb.com/title/tt0443649/
9 смертей ниндзя,Боевик (киножанр),Эмметт Олстон,Соединённые Штаты Америки,1985,https://www.imdb.com/title/tt0089689/
10 шагов к успеху,Комедийная драма,,Соединённые Штаты Америки,2006,https://www.imdb.com/title/tt0499603/
9/11,Драма (жанр),,Соединённые Штаты Америки,2017,https://www.imdb.com/title/tt4917224/
9 апреля,,,Дания,2015,https://www.imdb.com/title/tt3542188/
9 мая. Личное отношение,,Авдотья Смирнова,Россия,,https://www.imdb.com/title/tt1436582/
8-битное Рождество,Кинокомедия,Майкл Даус,Соединённые Штаты Америки,2021,https://www.imdb.com/title/tt11540284/
8 свиданий,Романтическая кинокомедия,,Испания,2008,https://www.imdb.com/title/tt1172974/
9 песен,Драма (жанр),Майкл Уинтерботтом,Великобритания,2004,https://www.imdb.com/title/tt0411705/
8 подруг Оушена,Кинокомедия,Гэри Росс,Соединённые Штаты Америки,2018,https://www.imdb.com/title/tt5164214/
8 первых свиданий,Кинокомедия,,Россия,2012,https://www.imdb.com/title/tt2258239/
8 миллиметров,Триллер,Джоэл Шумахер,Соединённые Штаты Америки,1999,https://www.imdb.com/title/tt0134273/
10 миль в час,Документальное кино,рус.,Соединённые Штаты Америки,2007,https://www.imdb.com/title/tt0446083/
8 лучших свиданий,Кинокомедия,Марюс Вайсберг,,2016,https://www.imdb.com/title/tt5338588/
8 женщин,Мюзикл,Франсуа Озон,Кинематограф Франции,2002,https://www.imdb.com/title/tt0283832/
8 ½ $,Кинокомедия,Григорий Константинопольский,Россия,1999,https://www.imdb.com/title/tt0417396/
007: Спектр,Шпионский фильм,Сэм Мендес,Кинематограф Великобритании,2015,https://www.imdb.com/title/tt2379713/
007: Координаты «Скайфолл»,Шпионский фильм,Сэм Мендес,Великобритания,,https://www.imdb.com/title/tt1074638/
9 душ,Фильм-драма,Тосиаки Тоёда,Япония,2003,https://www.imdb.com/title/tt0370244/
9 мёртвых геев,Драма (жанр),,Великобритания,2002,https://www.imdb.com/title/tt0336910/
9 месяцев строгого режима,Кинокомедия,Альбер Дюпонтель,Франция,2013,https://www.imdb.com/title/tt2853614/
7 секунд,Боевик (киножанр),Саймон Феллоуз,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0417395/
Ноль-седьмой меняет курс,Боевик (киножанр),Владимир Потапов,Россия,2007,https://www.imdb.com/title/tt1192862/
6-й день,Киберпанк,Роджер Споттисвуд,Кинематограф США,2000,https://www.imdb.com/title/tt0216216/
7:35 утра,Короткометражный фильм,Начо Вигалондо,Испания,,https://www.imdb.com/title/tt0406501/
7 ящиков,Триллер,Хуан Карлос Манелья,Парагвай,2012,https://www.imdb.com/title/tt2333598/
7 женщин,Драма (жанр),Джон Форд,Соединённые Штаты Америки,1966,https://www.imdb.com/title/tt0060050/
7 дней и ночей с Мэрилин,Драма (жанр),рус.,Великобритания,2011,https://www.imdb.com/title/tt1655420/
7 главных желаний,Кинокомедия,,Россия,,https://www.imdb.com/title/tt3338352/
6 дней,Боевик (жанр),Тоа Фрейзер,Великобритания,2017,https://www.imdb.com/title/tt4703048/
5-я волна,Постапокалиптика,,Соединённые Штаты Америки,2016,https://www.imdb.com/title/tt2304933/
7 дней до смерти,Драма (жанр),,Соединённые Штаты Америки,2000,https://www.imdb.com/title/tt0221928/
Четыре,Драматический фильм,Илья Хржановский,Россия,2004,https://www.imdb.com/title/tt0445161/
5×2,Мелодрама,Франсуа Озон,Франция,2004,https://www.imdb.com/title/tt0354356/
"4 месяца, 3 недели и 2 дня",Драма (жанр),Кристиан Мунджиу,Флаг Румынии,2007,https://www.imdb.com/title/tt1032846/
3 идиота,Комедия,Раджкумар Хирани,Индия,2009,https://www.imdb.com/title/tt1187043/
2pac: Легенда,Фильм-биография,,Соединённые Штаты Америки,2017,https://www.imdb.com/title/tt1666185/
4 маленькие девочки,,Спайк Ли,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118540/
4 листа фанеры,Детектив,Иван Гаврилюк,Украина,1992,https://www.imdb.com/title/tt6571730/
2+1,Драматический фильм,Хьюго Желен,Франция,2016,https://www.imdb.com/title/tt5078204/
